team,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Milwaukee Brewers,"$473,508","$346,988","$289,252","$384,133","$493,121","$535,045","$631,314","$586,012","$484,598","$682,071","$374,667","$524,661","$622,435","$665,021","$914,633","$1,139,339","$1,339,768","$1,560,673","$1,683,191","$1,267,148","$1,597,393","$2,214,167","$2,629,130","$2,790,948","$3,083,942","$2,796,837","$2,849,911","$3,755,921","$3,077,881","$3,748,778"
Minnesota Twins,"$448,656","$373,836","$370,020","$463,659","$492,085","$470,153","$988,879","$1,073,482","$788,254","$865,393","$635,431","$669,358","$888,121","$963,017","$733,017","$635,365","$893,704","$1,497,222","$2,134,808","$2,060,962","$2,080,963","$2,438,308","$2,551,411","$2,277,311","$2,251,699","$3,484,256","$4,509,480","$3,484,630","$2,790,278","$3,102,315"
New York Mets,"$515,941","$549,776","$553,869","$610,773","$710,181","$678,839","$1,253,462","$1,715,462","$1,301,456","$998,599","$675,000","$741,803","$1,137,154","$1,578,121","$2,099,745","$3,180,391","$3,212,911","$3,639,754","$4,174,158","$3,452,178","$3,752,067","$3,743,888","$3,841,055","$4,593,113","$5,334,785","$4,800,819","$4,401,752","$3,457,555","$1,648,278","$3,168,777"
New York Mutuals,"$711,910","$660,509","$488,563","$648,038","$552,077","$633,707","$976,577","$1,137,677","$1,291,664","$1,576,943","$1,437,496","$1,593,876","$2,146,260","$2,087,715","$2,990,840","$3,297,795","$3,622,166","$4,342,365","$5,455,351","$6,351,516","$8,011,801","$6,952,253","$6,759,252","$6,929,893","$7,748,046","$8,253,336","$6,975,001","$6,776,631","$7,483,190","$8,230,996"
Oakland Athletics,"$431,362","$315,465","$449,263","$421,304","$624,523","$584,927","$1,423,045","$1,282,344","$1,050,343","$1,035,530","$1,019,979","$574,135","$615,859","$608,657","$814,394","$1,184,123","$1,252,250","$1,481,636","$1,933,109","$2,122,345","$2,131,760","$2,489,723","$2,834,534","$1,713,112","$2,292,963","$1,726,716","$2,376,304","$1,845,750","$1,939,758","$2,784,938"
Philadelphia Phillies,"$532,893","$373,876","$479,760","$532,231","$407,846","$439,122","$749,578","$812,794","$891,823","$987,469","$783,486","$798,012","$916,413","$1,037,071","$932,132","$1,631,310","$1,602,455","$2,069,821","$2,440,690","$3,573,814","$3,673,923","$3,269,383","$2,980,940","$3,495,710","$4,185,335","$5,068,871","$5,765,879","$5,817,965","$6,533,200","$5,654,530"
Pittsburgh Pirates,"$485,658","$373,914","$306,080","$222,167","$439,224","$432,111","$875,358","$1,212,292","$752,196","$712,272","$556,223","$657,643","$307,762","$430,429","$649,939","$1,112,628","$1,863,253","$1,459,434","$1,957,587","$1,193,627","$1,361,893","$1,668,491","$1,427,327","$1,872,684","$1,872,808","$1,294,185","$1,553,345","$2,248,286","$2,752,214","$2,756,357"
San Francisco Giants,"$411,086","$319,536","$316,957","$495,200","$534,387","$568,686","$1,191,064","$1,326,527","$1,130,645","$1,332,458","$934,943","$1,061,278","$1,112,262","$1,520,208","$1,606,726","$2,066,839","$2,343,710","$2,899,994","$3,186,622","$2,645,780","$3,469,212","$3,463,708","$3,469,964","$2,641,190","$2,965,230","$3,522,905","$4,377,716","$3,920,689","$5,006,441","$5,839,649"
Seattle Mariners,"$256,278","$229,166","$251,500","$282,402","$407,479","$369,226","$603,532","$799,305","$990,798","$885,712","$1,042,323","$1,215,544","$1,298,146","$1,423,343","$1,503,472","$2,265,962","$2,668,601","$3,211,307","$3,220,710","$2,911,280","$2,742,323","$3,257,772","$3,942,994","$4,525,634","$3,532,292","$3,089,643","$2,969,331","$2,927,789","$2,846,348","$3,701,244"
St. Louis Brown Stockings,"$501,663","$455,228","$409,844","$354,111","$525,741","$549,635","$738,333","$959,077","$750,333","$426,181","$851,043","$944,939","$1,288,402","$1,562,050","$1,508,127","$1,827,367","$1,399,387","$1,428,448","$1,507,000","$2,130,186","$2,260,387","$2,496,291","$2,235,022","$2,376,697","$1,604,952","$1,453,819","$1,479,650","$1,973,025","$2,342,339","$2,703,061"
St. Louis Maroons,"$472,683","$365,741","$379,290","$477,037","$574,244","$586,381","$753,793","$951,167","$778,911","$975,853","$976,342","$1,220,293","$1,262,685","$1,562,072","$1,382,728","$2,276,069","$2,617,944","$2,871,572","$2,702,796","$3,201,090","$3,542,571","$3,292,273","$3,224,529","$3,018,923","$3,278,830","$3,741,630","$3,904,947","$3,939,317","$3,295,004","$4,310,464"
Syracuse Stars,,,,,,,,,,,,,,"$826,667","$1,022,895","$2,024,682","$2,110,370","$1,227,857","$785,200","$1,094,691","$1,023,416","$1,293,258","$893,463","$1,460,687","$2,183,208","$2,663,832","$1,578,984","$2,291,911","$2,302,403","$2,907,564"
Texas Rangers,"$383,825","$259,351","$220,000","$242,824","$396,459","$402,010","$867,833","$971,876","$957,288","$999,200","$1,017,102","$1,183,077","$1,444,563","$1,885,737","$2,556,998","$2,722,920","$2,859,145","$3,768,790","$3,449,722","$1,898,290","$1,801,581","$2,200,925","$2,439,953","$2,334,908","$2,350,993","$1,905,191","$3,182,733","$4,635,037","$3,880,090","$4,677,294"
Toronto Blue Jays,"$440,628","$467,076","$455,630","$470,816","$580,774","$657,661","$796,097","$1,244,130","$1,432,702","$1,447,789","$1,533,030","$895,609","$1,426,662","$1,605,500","$1,420,135","$1,793,533","$2,746,286","$2,650,494","$1,898,852","$1,923,731","$1,758,442","$2,744,808","$3,034,919","$3,621,996","$2,876,368","$2,074,467","$2,018,316","$2,778,119","$4,073,810","$4,396,804"
Washington Senators,,,,,,,,,,,,,,,,,,,,,"$1,619,383","$2,036,871","$1,319,554","$1,895,207","$2,140,286","$2,046,667","$2,201,963","$2,695,171","$4,548,131","$4,399,456"
